"ID";"fileName";"fileNamePE";"experiment";"tissue";"condition";"replicate";"lane";"merge";"input";"pairedEnd";"macsGroup";"phredScore";"adapter";"trimQuality";"adapterPE";"trimQualityPE"
"SRR340077";"";"";"SRP007993";"HepG2 -;- liver carcinoma -;- endoderm";"USC_ChipSeq_HepG2_TCF7L2_UCDavis";"";1;"SRX094468";NA;"false";"";"";"";"";"";""
"SRR340078";"";"";"SRP007993";"HepG2 -;- liver carcinoma -;- endoderm";"USC_ChipSeq_HepG2_TCF7L2_UCDavis";"";2;"SRX094468";NA;"false";"";"";"";"";"";""
"SRR340079";"";"";"SRP007993";"HCT-116 -;- colorectal carcinoma (PMID: 7214343) -;- endoderm";"USC_ChipSeq_HCT-116_TCF7L2_UCDavis";"";1;"SRX094469";NA;"false";"";"";"";"";"";""
"SRR340080";"";"";"SRP007993";"HCT-116 -;- colorectal carcinoma (PMID: 7214343) -;- endoderm";"USC_ChipSeq_HCT-116_TCF7L2_UCDavis";"";2;"SRX094469";NA;"false";"";"";"";"";"";""
"SRR340081";"";"";"SRP007993";"HEK293 -;- embryonic kidney. (PMID: 11967234) -;- mesoderm";"USC_ChipSeq_HEK293_TCF7L2_UCDavis";"";1;"SRX094470";NA;"false";"";"";"";"";"";""
"SRR340082";"";"";"SRP007993";"HEK293 -;- embryonic kidney. (PMID: 11967234) -;- mesoderm";"USC_ChipSeq_HEK293_TCF7L2_UCDavis";"";2;"SRX094470";NA;"false";"";"";"";"";"";""
"SRR352493";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_TCF7L2_UCDavis";"";1;"SRX100941";NA;"false";"";"";"";"";"";""
"SRR352494";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_TCF7L2_UCDavis";"";2;"SRX100941";NA;"false";"";"";"";"";"";""
"SRR352495";"";"";"SRP007993";"PANC-1 -;- pancreatic carcinoma, (PMID: 1140870) PANC-1 was established from a pancreatic carcinoma, which was extracted via pancreatico-duodenectomy specimen from a 56-year-old Caucasian individual. Malignancy of this cell line was verified via in vitro and in vivo assays. -;- endoderm";"USC_ChipSeq_PANC-1_TCF7L2_UCDavis";"";1;"SRX100942";NA;"false";"";"";"";"";"";""
"SRR352496";"";"";"SRP007993";"PANC-1 -;- pancreatic carcinoma, (PMID: 1140870) PANC-1 was established from a pancreatic carcinoma, which was extracted via pancreatico-duodenectomy specimen from a 56-year-old Caucasian individual. Malignancy of this cell line was verified via in vitro and in vivo assays. -;- endoderm";"USC_ChipSeq_PANC-1_TCF7L2_UCDavis";"";2;"SRX100942";NA;"false";"";"";"";"";"";""
"SRR352497";"";"";"SRP007993";"MCF-7 -;- mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis -;- ectoderm";"USC_ChipSeq_MCF-7_TCF7L2_UCDavis";"";1;"SRX100943";NA;"false";"";"";"";"";"";""
"SRR352498";"";"";"SRP007993";"MCF-7 -;- mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis -;- ectoderm";"USC_ChipSeq_MCF-7_TCF7L2_UCDavis";"";2;"SRX100943";NA;"false";"";"";"";"";"";""
"SRR353505";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Yale_ChipSeq_HeLa-S3_Input_std";"";1;NA;NA;"false";"";"";"";"";"";""
"SRR353506";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"USC_ChipSeq_HepG2_Input_UCDavis";"";1;NA;NA;"false";"";"";"";"";"";""
"SRR353507";"";"";"SRP007993";"HCT-116 -;- colorectal carcinoma (PMID: 7214343) -;- endoderm";"USC_ChipSeq_HCT-116_Input_UCDavis";"";1;NA;NA;"false";"";"";"";"";"";""
"SRR353665";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_Input_UCDavis";"";1;NA;NA;"false";"";"";"";"";"";""
"SRR361464";"";"";"SRP007993";"MCF-7 -;- mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis -;- ectoderm";"USC_ChipSeq_MCF-7_GATA3_(SC-268)_UCDavis";"";1;"SRX104409";NA;"false";"";"";"";"";"";""
"SRR361465";"";"";"SRP007993";"MCF-7 -;- mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis -;- ectoderm";"USC_ChipSeq_MCF-7_GATA3_(SC-268)_UCDavis";"";2;"SRX104409";NA;"false";"";"";"";"";"";""
"SRR501914";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_MAZ_(ab85725)_IgG-rab";"";1;"SRX150352";NA;"false";"";"";"";"";"";""
"SRR501915";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_MAZ_(ab85725)_IgG-rab";"";2;"SRX150352";NA;"false";"";"";"";"";"";""
"SRR501916";"";"";"SRP007993";"GM19099 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM19099_TNFa_NFKB_IgG-rab";"";1;"SRX150353";NA;"false";"";"";"";"";"";""
