run_accession	experiment_accession	sample_accession	study_accession	sample	series_id	library_strategy	platform	library_layout	pairedEnd	taxon_id	sample_name	experiment_title	experiment_name	sample_attribute	characteristics_ch1	sa_tissue	ch1_tissue	sa_antibody	ch1_antibody	sa_gene	ch1_gene	sa_treatment	ch1_treatment
SRR364095	SRX104993	SRS269892	SRP009191	NA	NA	ChIP-Seq	ABI_SOLID	SINGLE - 	false	4392	NA	Nucleosome mapping in Wt (H3/H4) and H3K4A and H3K79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR364096	SRX105009	SRS269892	SRP009191	NA	NA	ChIP-Seq	ABI_SOLID	SINGLE - 	false	4392	NA	Nucleosome mapping in H3K36A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR364097	SRX105010	SRS269892	SRP009191	NA	NA	ChIP-Seq	ABI_SOLID	SINGLE - 	false	4392	NA	Nucleosome mapping in Wt (H2A/H2B)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR364098	SRX105019	SRS269892	SRP009191	NA	NA	ChIP-Seq	ABI_SOLID	SINGLE - 	false	4392	NA	Nucleosome positioning in H2BK123A mutant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR391063	SRX105204	SRS270029	SRP009191	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	4392	NA	Nucleosome mapping in Ubiquitylation deficient mutants	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR391064	SRX105204	SRS270029	SRP009191	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	4392	NA	Nucleosome mapping in Ubiquitylation deficient mutants	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR391065	SRX105204	SRS270029	SRP009191	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	4392	NA	Nucleosome mapping in Ubiquitylation deficient mutants	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR391066	SRX105204	SRS270029	SRP009191	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	4392	NA	Nucleosome mapping in Ubiquitylation deficient mutants	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR391067	SRX105204	SRS270029	SRP009191	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	4392	NA	Nucleosome mapping in Ubiquitylation deficient mutants	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR391072	SRX105193	SRS270030	SRP009191	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	4392	NA	H3K36me modified nucleosomes in Wt and K123A mutants	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR391073	SRX105193	SRS270030	SRP009191	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	4392	NA	H3K36me modified nucleosomes in Wt and K123A mutants	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR391074	SRX105193	SRS270030	SRP009191	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	4392	NA	H3K36me modified nucleosomes in Wt and K123A mutants	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
