ID	fileName	fileNamePE	experiment	tissue	condition	replicate	lane	merge	input	pairedEnd	macsGroup	phredScore	adapter	trimQuality	adapterPE	trimQualityPE
SRR364095			SRP009191	NA	Nucleosome mapping in Wt (H3/H4) and H3K4A and H3K79a		1		NA	false						
SRR364096			SRP009191	NA	Nucleosome mapping in H3K36A		1		NA	false						
SRR364097			SRP009191	NA	Nucleosome mapping in Wt (H2A/H2B)		1		NA	false						
SRR364098			SRP009191	NA	Nucleosome positioning in H2BK123A mutant		1		NA	false						
SRR391063			SRP009191	NA	Nucleosome mapping in Ubiquitylation deficient mutants		3	SRX105204	NA	false						
SRR391064			SRP009191	NA	Nucleosome mapping in Ubiquitylation deficient mutants		2	SRX105204	NA	false						
SRR391065			SRP009191	NA	Nucleosome mapping in Ubiquitylation deficient mutants		5	SRX105204	NA	false						
SRR391066			SRP009191	NA	Nucleosome mapping in Ubiquitylation deficient mutants		1	SRX105204	N	false						
SRR391067			SRP009191	NA	Nucleosome mapping in Ubiquitylation deficient mutants		4	SRX105204	NA	false						
SRR391072			SRP009191	NA	H3K36me modified nucleosomes in Wt and K123A mutants		2	SRX105193	NA	false						
SRR391073			SRP009191	NA	H3K36me modified nucleosomes in Wt and K123A mutants		3	SRX105193	NA	false						
SRR391074			SRP009191	NA	H3K36me modified nucleosomes in Wt and K123A mutants		4	SRX105193	NA	false						
SRR391075			SRP009191	NA	H3K36me modified nucleosomes in Wt and K123A mutants		1	SRX105193	NA	false						
SRR365033			SRP009191	NA	Nucleosome mapping in various strains (biological replicates)		1		NA	false						
SRR393954			SRP009191	NA	Nucleosome mapping in Ubiquitylation deficient mutants (Biological replicates)		2	SRX105270	NA	false						
SRR393955			SRP009191	NA	Nucleosome mapping in Ubiquitylation deficient mutants (Biological replicates)		1	SRX105270	NA	false						
SRR393967			SRP009191	NA	H2Bk123Ub-modified Nucleosomes		1		NA	false						
SRR1132340			SRP035339	breast cancer cell line (NF2 mutant)	Merlin re-expression strongly inhibits proliferation of Merlin-deficient cells and this correlates with its ability to regulate a cross-tissue gene expression program. We have shown that Merlin interacts with the PAF1 complex.  ChIP-seq experiments were p		1		N	true						
SRR1132341			SRP035339	breast cancer cell line	7 wt Merlin expression- LEO1 ChiP seq		1		NA	true						
SRR1132342			SRP035339	breast cancer cell line	L46R Merlin expression- Rabbit Antibody control ChiP-seq		1		input	true						
SRR1132343			SRP035339	breast cancer cell line	L46R Merlin expression-Pol2 ChiP-seq		1		NA	true						
SRR1132344			SRP035339	breast cancer cell line	L46R Merlin expression-LEO1 ChiP-seq		1		NA	true						
SRR2627450			SRP048744	THP1, pLKO.1-PAF1 shRNA #1	Lib131; Homo sapiens; ChIP-Seq		1		NA	false						
SRR2627449			SRP048744	THP1, pLKO.1 control	Lib130; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607716			SRP048744	THP1_WT_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib16; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607717			SRP048744	THP1_WT_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib19; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607718			SRP048744	THP1_WT_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib20; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607719			SRP048744	THP1_WT_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib22; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607720			SRP048744	THP1_WT_input -;- human acute monocytic leukemia (AML) cell line	Lib34; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607721			SRP048744	THP1_DMSO_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib70; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607723			SRP048744	THP1_DMSO_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib78; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607722			SRP048744	THP1_Flavopiridol_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib72; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607724			SRP048744	THP1_Flavopiridol_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib81; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607726			SRP048744	THP1_PAF1KD_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib107; Homo sapiens; ChIP-Seq		1		N	false						
SRR1607729			SRP048744	THP1_vector-control_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib134; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607730			SRP048744	THP1_PAF1KD_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib135; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607731			SRP048744	THP1 ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib140; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607732			SRP048744	THP1 ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib146; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607733			SRP048744	THP1_vector-control_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib152; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607734			SRP048744	THP1_PAF1KD_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib153; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607735			SRP048744	CCRF-CEM_vector-control_ChIP-seq -;- human acute lymphocytic leukemia (ALL) cell line	Lib174; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607737			SRP048744	CCRF-CEM_vector-control_ChIP-seq -;- human acute lymphocytic leukemia (ALL) cell line	Lib176; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607736			SRP048744	CCRF-CEM_PAF1KD_ChIP-seq -;- human acute lymphocytic leukemia (ALL) cell line	Lib175; Homo sapiens; ChIP-Seq		1		N	false						
SRR1607738			SRP048744	CCRF-CEM_PAF1KD_ChIP-seq -;- human acute lymphocytic leukemia (ALL) cell line	Lib177; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607740			SRP048744	THP1_PAF1KD_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib181; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607741			SRP048744	CCRF-CEM_input -;- human acute lymphocytic leukemia (ALL) cell line	Lib185; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607739			SRP048744	THP1_vector-control_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib180; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607725			SRP048744	THP1_vector-control_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib106; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607727			SRP048744	THP1_vector-control_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib108; Homo sapiens; ChIP-Seq		1		NA	false						
SRR1607728			SRP048744	THP1_PAF1KD_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib109; Homo sapiens; ChIP-Seq		1		NA	false						
SRR2084572			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsPAF1.1_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		4	SRX1078887	input	false						
SRR2084573			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsPAF1.1_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		1	SRX1078887	input	false						
SRR2084574			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsPAF1.1_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		3	SRX1078887	input	false						
SRR2084575			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsPAF1.1_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		2	SRX1078887	input	false						
SRR2084568			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsLacZ_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		2	SRX1078886	input	false						
SRR2084569			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsLacZ_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		1	SRX1078886	input	false						
SRR2084570			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsLacZ_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		3	SRX1078886	input	false						
SRR2084571			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsLacZ_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		4	SRX1078886	input	false						
SRR2084564			SRP060227	S2 -;- Drosophila melanogaster cell line	dRpb1_dsPAF1.1_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		4	SRX1078885	NA	false						
SRR2084565			SRP060227	S2 -;- Drosophila melanogaster cell line	dRpb1_dsPAF1.1_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		2	SRX1078885	NA	false						
SRR2084566			SRP060227	S2 -;- Drosophila melanogaster cell line	dRpb1_dsPAF1.1_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		3	SRX1078885	NA	false						
SRR2084567			SRP060227	S2 -;- Drosophila melanogaster cell line	dRpb1_dsPAF1.1_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		1	SRX1078885	NA	false						
SRR2084560			SRP060227	S2 -;- Drosophila melanogaster cell line	dRpb1_dsLacZ_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		3	SRX1078884	NA	false						
SRR2084561			SRP060227	S2 -;- Drosophila melanogaster cell line	dRpb1_dsLacZ_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		1	SRX1078884	NA	false						
SRR2084562			SRP060227	S2 -;- Drosophila melanogaster cell line	dRpb1_dsLacZ_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		2	SRX1078884	NA	false						
SRR2084563			SRP060227	S2 -;- Drosophila melanogaster cell line	dRpb1_dsLacZ_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		4	SRX1078884	NA	false						
SRR2084556			SRP060227	MCF7 -;- breast cancer cell line	N20_shSCR_MCF7_ChIPSeq; Homo sapiens; ChIP-Seq		3	SRX1078883	NA	false						
SRR2084557			SRP060227	MCF7 -;- breast cancer cell line	N20_shSCR_MCF7_ChIPSeq; Homo sapiens; ChIP-Seq		1	SRX1078883	NA	false						
SRR2084558			SRP060227	MCF7 -;- breast cancer cell line	N20_shSCR_MCF7_ChIPSeq; Homo sapiens; ChIP-Seq		4	SRX1078883	NA	false						
SRR2084559			SRP060227	MCF7 -;- breast cancer cell line	N20_shSCR_MCF7_ChIPSeq; Homo sapiens; ChIP-Seq		2	SRX1078883	NA	false						
SRR2084552			SRP060227	MCF7 -;- breast cancer cell line	N20_shPAF1.1_MCF7_ChIPSeq; Homo sapiens; ChIP-Seq		2	SRX1078882	NA	false						
