ID	fileName	fileNamePE	experiment	tissue	condition	replicate	lane	merge	input	pairedEnd	macsGroup	phredScore	adapter	trimQuality	adapterPE	trimQualityPE
SRR391066			SRP009191	NA	Nucleosome mapping in Ubiquitylation deficient mutants		1	SRX105204	N	false						
SRR1132340			SRP035339	breast cancer cell line (NF2 mutant)	Merlin re-expression strongly inhibits proliferation of Merlin-deficient cells and this correlates with its ability to regulate a cross-tissue gene expression program. We have shown that Merlin interacts with the PAF1 complex.  ChIP-seq experiments were p		1		N	true						
SRR1132342			SRP035339	breast cancer cell line	L46R Merlin expression- Rabbit Antibody control ChiP-seq		1		input	true						
SRR1607716			SRP048744	THP1_WT_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib16; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607719			SRP048744	THP1_WT_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib22; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607721			SRP048744	THP1_DMSO_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib70; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607722			SRP048744	THP1_Flavopiridol_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib72; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607724			SRP048744	THP1_Flavopiridol_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib81; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607726			SRP048744	THP1_PAF1KD_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib107; Homo sapiens; ChIP-Seq		1		N	false						
SRR1607735			SRP048744	CCRF-CEM_vector-control_ChIP-seq -;- human acute lymphocytic leukemia (ALL) cell line	Lib174; Homo sapiens; ChIP-Seq		1		input	false						
SRR1607736			SRP048744	CCRF-CEM_PAF1KD_ChIP-seq -;- human acute lymphocytic leukemia (ALL) cell line	Lib175; Homo sapiens; ChIP-Seq		1		N	false						
SRR1607725			SRP048744	THP1_vector-control_ChIP-seq -;- human acute monocytic leukemia (AML) cell line	Lib106; Homo sapiens; ChIP-Seq		1		input	false						
SRR2084572			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsPAF1.1_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		4	SRX1078887	input	false						
SRR2084573			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsPAF1.1_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		1	SRX1078887	input	false						
SRR2084574			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsPAF1.1_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		3	SRX1078887	input	false						
SRR2084575			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsPAF1.1_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		2	SRX1078887	input	false						
SRR2084568			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsLacZ_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		2	SRX1078886	input	false						
SRR2084569			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsLacZ_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		1	SRX1078886	input	false						
SRR2084570			SRP060227	S2 -;- Drosophila melanogaster cell line	Input_dsLacZ_S2_rep1_ChIPSeq; Drosophila melanogaster; ChIP-Seq		3	SRX1078886	input	false						
