ID	fileName	fileNamePE	experiment	tissue	condition	replicate	lane	merge	input	pairedEnd	macsGroup	phredScore	adapter	trimQuality	adapterPE	trimQualityPE
SRR002004			SRP000217	NA	Illumina sequencing of Mouse ES_nanog genomic fragment library		2	SRX000545	NA	false						
SRR002005			SRP000217	NA	Illumina sequencing of Mouse ES_nanog genomic fragment library		3	SRX000545	NA	false						
SRR002006			SRP000217	NA	Illumina sequencing of Mouse ES_nanog genomic fragment library		6	SRX000545	NA	false						
SRR002007			SRP000217	NA	Illumina sequencing of Mouse ES_nanog genomic fragment library		1	SRX000545	NA	false						
SRR002008			SRP000217	NA	Illumina sequencing of Mouse ES_nanog genomic fragment library		5	SRX000545	NA	false						
SRR002009			SRP000217	NA	Illumina sequencing of Mouse ES_nanog genomic fragment library		4	SRX000545	NA	false						
SRR002010			SRP000217	NA	Illumina sequencing of Mouse ES_nanog genomic fragment library		8	SRX000545	NA	false						
SRR002011			SRP000217	NA	Illumina sequencing of Mouse ES_nanog genomic fragment library		7	SRX000545	NA	false						
SRR002012			SRP000217	NA	Illumina sequencing of Mouse ES_Oct4 genomic fragment library		3	SRX000546	NA	false						
SRR002013			SRP000217	NA	Illumina sequencing of Mouse ES_Oct4 genomic fragment library		1	SRX000546	NA	false						
SRR002014			SRP000217	NA	Illumina sequencing of Mouse ES_Oct4 genomic fragment library		4	SRX000546	NA	false						
SRR002015			SRP000217	NA	Illumina sequencing of Mouse ES_Oct4 genomic fragment library		2	SRX000546	NA	false						
SRR002023			SRP000217	NA	Illumina sequencing of Mouse ES_Sox2 genomic fragment library		3	SRX000549	NA	false						
SRR002024			SRP000217	NA	Illumina sequencing of Mouse ES_Sox2 genomic fragment library		4	SRX000549	NA	false						
SRR002025			SRP000217	NA	Illumina sequencing of Mouse ES_Sox2 genomic fragment library		1	SRX000549	NA	false						
SRR002026			SRP000217	NA	Illumina sequencing of Mouse ES_Sox2 genomic fragment library		2	SRX000549	NA	false						
SRR002020			SRP000217	NA	Illumina sequencing of Mouse ES_Smad1 genomic fragment library		3	SRX000548	NA	false						
SRR002021			SRP000217	NA	Illumina sequencing of Mouse ES_Smad1 genomic fragment library		2	SRX000548	NA	false						
SRR002022			SRP000217	NA	Illumina sequencing of Mouse ES_Smad1 genomic fragment library		1	SRX000548	NA	false						
SRR001988			SRP000217	NA	Illumina sequencing of Mouse E2f1 genomic fragment library		2	SRX000541	NA	false						
SRR001989			SRP000217	NA	Illumina sequencing of Mouse E2f1 genomic fragment library		3	SRX000541	NA	false						
SRR001990			SRP000217	NA	Illumina sequencing of Mouse E2f1 genomic fragment library		4	SRX000541	NA	false						
SRR001991			SRP000217	NA	Illumina sequencing of Mouse E2f1 genomic fragment library		1	SRX000541	NA	false						
SRR002031			SRP000217	NA	Illumina sequencing of Mouse ES_Tcfcp2I1 genomic fragment library		3	SRX000551	NA	false						
SRR002032			SRP000217	NA	Illumina sequencing of Mouse ES_Tcfcp2I1 genomic fragment library		1	SRX000551	NA	false						
SRR002033			SRP000217	NA	Illumina sequencing of Mouse ES_Tcfcp2I1 genomic fragment library		2	SRX000551	NA	false						
SRR002034			SRP000217	NA	Illumina sequencing of Mouse ES_Tcfcp2I1 genomic fragment library		4	SRX000551	NA	false						
SRR001985			SRP000217	NA	Illumina sequencing of Mouse genomic fragment library		2	SRX000540	NA	false						
SRR001986			SRP000217	NA	Illumina sequencing of Mouse genomic fragment library		3	SRX000540	NA	false						
SRR001987			SRP000217	NA	Illumina sequencing of Mouse genomic fragment library		1	SRX000540	NA	false						
SRR002035			SRP000217	NA	Illumina sequencing of Mouse ES_Zfx genomic fragment library		2	SRX000552	NA	false						
SRR002036			SRP000217	NA	Illumina sequencing of Mouse ES_Zfx genomic fragment library		1	SRX000552	NA	false						
SRR002037			SRP000217	NA	Illumina sequencing of Mouse ES_Zfx genomic fragment library		4	SRX000552	NA	false						
SRR002038			SRP000217	NA	Illumina sequencing of Mouse ES_Zfx genomic fragment library		3	SRX000552	NA	false						
SRR002016			SRP000217	NA	Illumina sequencing of Mouse genomic fragment library		3	SRX000547	N	false						
