run_accession	experiment_accession	sample_accession	study_accession	sample	series_id	library_strategy	platform	library_layout	pairedEnd	taxon_id	sample_name	experiment_title	experiment_name	sample_attribute	characteristics_ch1	sa_tissue	ch1_tissue	sa_antibody	ch1_antibody	sa_gene	ch1_gene	sa_treatment	ch1_treatment
SRR002016	SRX000547	SRS000528	SRP000217	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	ES_STAT3	Illumina sequencing of Mouse genomic fragment library	STAT3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR002017	SRX000547	SRS000528	SRP000217	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	ES_STAT3	Illumina sequencing of Mouse genomic fragment library	STAT3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR002018	SRX000547	SRS000528	SRP000217	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	ES_STAT3	Illumina sequencing of Mouse genomic fragment library	STAT3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR002019	SRX000547	SRS000528	SRP000217	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	ES_STAT3	Illumina sequencing of Mouse genomic fragment library	STAT3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR271943	SRX020335	SRS072818	SRP002451	GSM540720	GSE21669,GSE21671	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	GSM540720: Stat3fl/fl FoxP3-GFP<STAT3 wild type>, H3K4me3_ChIPSeq	Stat3fl/fl FoxP3-GFP<STAT3 wild type>, H3K4me3_ChIPSeq	NA	source_name: in vitro polarized Th17 T cells || strain: Stat3fl/fl FoxP3-GFP<STAT3 wild type> || cell type: WT-Th17 polazied T cells from naive || passages: mouse primary T cells cultured in vitro for 3 days and restimulated with IL6 || chip antibody: H3K4me3 || antibody manufacturer: AbCam || antibody catalog number: 8580	strain: Stat3fl/fl FoxP3-GFP<STAT3 wild type> || cell type: WT-Th17 polazied T cells from naive || passages: mouse primary T cells cultured in vitro for 3 days and restimulated with IL6 || chip antibody: H3K4me3 || antibody manufacturer: AbCam || antibody catalog number: 8580	Stat3fl/fl FoxP3-GFP<STAT3 wild type> -;- in vitro polarized Th17 T cells -;- WT-Th17 polazied T cells from naive	WT-Th17 polazied T cells from naive	H3K4me3	H3K4me3	NA	NA	NA	NA
SRR271944	SRX020336	SRS072819	SRP002451	GSM540721	GSE21669,GSE21671	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	GSM540721: Stat3fl/fl FoxP3-GFP, CD4-Cre<STAT3 deficient>, H3K4me3_ChIPSeq	Stat3fl/fl FoxP3-GFP, CD4-Cre<STAT3 deficient>, H3K4me3_ChIPSeq	NA	source_name: in vitro polarized Th17 T cells || strain: Stat3fl/fl FoxP3-GFP, CD4-Cre<STAT3 deficient> || cell type: STAT3-deficient-Th17 polarized T cells from naÃƒÂ¯ve || passages: mouse primary T cells cultured in vitro for 3 days and restimulated with IL6 || chip antibody: H3K4me3 || antibody manufacturer: AbCam || antibody catalog number: 8580	strain: Stat3fl/fl FoxP3-GFP, CD4-Cre<STAT3 deficient> || cell type: STAT3-deficient-Th17 polarized T cells from naïve || passages: mouse primary T cells cultured in vitro for 3 days and restimulated with IL6 || chip antibody: H3K4me3 || antibody manufacturer: AbCam || antibody catalog number: 8580	Stat3fl/fl FoxP3-GFP, CD4-Cre<STAT3 deficient> -;- in vitro polarized Th17 T cells -;- STAT3-deficient-Th17 polarized T cells from naÃƒÂ¯ve	STAT3-deficient-Th17 polarized T cells from naïve	H3K4me3	H3K4me3	NA	NA	NA	NA
SRR271642	SRX020337	SRS072820	SRP002451	GSM540722	GSE21669,GSE21671	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	GSM540722: Stat3fl/fl FoxP3-GFP<STAT3 wild type>, STAT3-ChIPSeq	Stat3fl/fl FoxP3-GFP<STAT3 wild type>, STAT3-ChIPSeq	NA	source_name: in vitro polarized Th17 T cells || strain: Stat3fl/fl FoxP3-GFP<STAT3 wild type> || cell type: WT-Th17 polazied T cells from naive || passages: mouse primary T cells cultured in vitro for 3 days and restimulated with IL6 || chip antibody: Phospho-STAT3(Ser727) || antibody manufacturer: Cell Signaling || antibody catalog number: 9134	strain: Stat3fl/fl FoxP3-GFP<STAT3 wild type> || cell type: WT-Th17 polazied T cells from naive || passages: mouse primary T cells cultured in vitro for 3 days and restimulated with IL6 || chip antibody: Phospho-STAT3(Ser727) || antibody manufacturer: Cell Signaling || antibody catalog number: 9134	Stat3fl/fl FoxP3-GFP<STAT3 wild type> -;- in vitro polarized Th17 T cells -;- WT-Th17 polazied T cells from naive	WT-Th17 polazied T cells from naive	Phospho-STAT3(Ser727)	Phospho-STAT3(Ser727)	NA	NA	NA	NA
SRR069061	SRX028629	SRS117324	SRP003810	GSM580756	GSE23681	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	GSM580756: Stat3_ChIPSeq	Stat3_ChIPSeq	GSM580756: Stat3_ChIPSeq	source_name: CD4+ T cells || strain: C57BL/6 || cell type: CD4+ T cells stimulated by IL-6 and IL23 || chip antibody: phospho-Stat3 (14-6727, ebiosciences, CA)	strain: C57BL/6 || cell type: CD4+ T cells stimulated by IL-6 and IL23 || chip antibody: phospho-Stat3 (14-6727, ebiosciences, CA)	C57BL/6 -;- CD4+ T cells -;- CD4+ T cells stimulated by IL-6 and IL23	CD4+ T cells stimulated by IL-6 and IL23	phospho-Stat3 (14-6727, ebiosciences, CA)	phospho-Stat3 (14-6727, ebiosciences, CA)	NA	NA	NA	NA
ERR361904	ERX334673	ERS364413	ERP004237	NA	NA	ChIP-Seq	ILLUMINA	SINGLE - 	false	9606	E-MTAB-2042:3iL hESCs	Illumina HiSeq 2000 sequencing; ChIP-Seq of STAT3 in 3iL Human Embryonic Stem Cells	E-MTAB-2042:3iL_hESCs_pSTAT3	organism: Homo sapiens || cell line: H1 || cell type: embryonic stem cell || sex: male	NA	embryonic stem cell -;- H1	NA	NA	NA	NA	NA	NA	NA
SRR099051	SRX041328	SRS172200	SRP005649	GSM671414	GSE27161	ChIP-Seq	ILLUMINA	SINGLE - 	false	10090	GSM671414: STAT3_control_ChIPSeq	STAT3_control_ChIPSeq	GSM671414: STAT3_control_ChIPSeq	source_name: Dendritic Cell in Spleen || antibody: Invtrogen, monoclonal antibody ST3-5G7 || cell type: Dendritic Cell || strain: C57BL/6 || treatment: control	antibody: Invtrogen, monoclonal antibody ST3-5G7 || cell type: Dendritic Cell || strain: C57BL/6 || treatment: control	C57BL/6 -;- Dendritic Cell in Spleen	Dendritic Cell	Invtrogen, monoclonal antibody ST3-5G7	Invtrogen, monoclonal antibody ST3-5G7	NA	NA	control	control
